<file name>,<file type>,<source>,<creator>,<license>
tulip-8244705_640.jpg integrated into CarPartPropsTA.png, Image, https://pixabay.com/photos/tulip-flower-plant-petals-bloom-8244705/, DEibrinkJansen, Pixabay Content License
bush1_fall.png, Image, https://elegantcrow.itch.io/retro-psx-nature-pack, Elegant Crow, CC0
bush2_fall.png, Image, https://elegantcrow.itch.io/retro-psx-nature-pack, Elegant Crow, CC0
bush3_fall.png, Image, https://elegantcrow.itch.io/retro-psx-nature-pack, Elegant Crow, CC0
bush6_fall.png, Image, https://elegantcrow.itch.io/retro-psx-nature-pack, Elegant Crow, CC0
bush8_fall.png, Image, https://elegantcrow.itch.io/retro-psx-nature-pack, Elegant Crow, CC0
grass_bush_fall.png, Image, https://elegantcrow.itch.io/retro-psx-nature-pack, Elegant Crow, CC0
grass_patch_dall.png, Image, https://elegantcrow.itch.io/retro-psx-nature-pack, Elegant Crow, CC0
tree01_fall.png, Image, https://elegantcrow.itch.io/retro-psx-nature-pack, Elegant Crow, CC0
tree02_fall.png, Image, https://elegantcrow.itch.io/retro-psx-nature-pack, Elegant Crow, CC0
tree03_fall.png, Image, https://elegantcrow.itch.io/retro-psx-nature-pack, Elegant Crow, CC0
tree04_fall.png, Image, https://elegantcrow.itch.io/retro-psx-nature-pack, Elegant Crow, CC0
tree07_fall.png, Image, https://elegantcrow.itch.io/retro-psx-nature-pack, Elegant Crow, CC0
car1.png, Image, https://ggbot.itch.io/psx-style-cars, GGBotNet, CC0
car2.png, Image, https://ggbot.itch.io/psx-style-cars, GGBotNet, CC0
car3_red.png, Image, https://ggbot.itch.io/psx-style-cars, GGBotNet, CC0
car4_lightorange.png, Image, https://ggbot.itch.io/psx-style-cars, GGBotNet, CC0
car5_grey.png, Image, https://ggbot.itch.io/psx-style-cars, GGBotNet, CC0
car6.png, Image, https://ggbot.itch.io/psx-style-cars, GGBotNet, CC0
book_brown_03.png, Image, https://craigsnedeker.itch.io/classic64-asset-library, craigsnedeker, CC0
book_red_01.png, Image, https://craigsnedeker.itch.io/classic64-asset-library, craigsnedeker, CC0
box04.png, Image, https://craigsnedeker.itch.io/classic64-asset-library, craigsnedeker, CC0
drink_can_soda_2.png, Image, https://craigsnedeker.itch.io/classic64-asset-library, craigsnedeker, CC0
food_canned_soup_4.png, Image, https://craigsnedeker.itch.io/classic64-asset-library, craigsnedeker, CC0
food_canned_soup_6.png, Image, https://craigsnedeker.itch.io/classic64-asset-library, craigsnedeker, CC0
food_cereal_4.png, Image, https://craigsnedeker.itch.io/classic64-asset-library, craigsnedeker, CC0
food_cereal_5.png, Image, https://craigsnedeker.itch.io/classic64-asset-library, craigsnedeker, CC0
food_snacks_chips_1.png, Image, https://craigsnedeker.itch.io/classic64-asset-library, craigsnedeker, CC0
