<file name>,<file type>,<source>,<creator>,<license>
AmbientEcho.wav, Sound, https://freesound.org/people/waveplaySFX/sounds/187520/, waveplaySFX, CC0
Crows.wav (edited), Sound, https://freesound.org/people/blimp66/sounds/353432/, blimp66, CC0
HowlingWind.wav, Sound, https://freesound.org/people/Tonmeister88/sounds/557380/, Tonmeister88, CC0
light_buzz.wav, Sound, https://freesound.org/people/Nox_Sound/sounds/553075/, Nox_Sound, CC0
LightAmbientDrone2.wav, Sound, https://freesound.org/people/farbe_m/sounds/417379/, farbe_m, CC0
concrete_footstep_x.wav (edited), Sound, https://freesound.org/people/rsellick/sounds/545543/, rsellick, CC0
grass_footstep_x.wav (edited), Sound, https://pixabay.com/de/sound-effects/walk-on-dry-grass-22917/, Pixabay, Pixabay Content License
gravel_footstep_x.wav (edited), Sound, https://freesound.org/people/xkeril/sounds/639085/, xkeril, CC0
Doow.wav, Sound, https://freesound.org/people/pagancow/sounds/15419/, pagancow, CC0
RadioStatic.wav, Sound, https://freesound.org/people/clesquir/sounds/110739/, clesquir, CC0
CarStart.mp3, Sound, https://pixabay.com/sound-effects/car-start-and-driving-away-2-31339/, Pixabay, Pixabay Content License
HorrorGhostSound, Sound, https://freesound.org/people/HaraldDeLuca/sounds/380510/, HaraldDeLuca, CC0
